date,spot,atm_iv,call_iv,put_iv,skew,iv_rank_252,n_options
2021-05-14,172.69000244140625,0.1215161891280481,0.11915642684256704,0.12392268391626973,1.04,11.982473106037544,8
2021-05-17,174.6999969482422,0.12542042951803845,0.12298484952224356,0.1279042435031333,1.04,18.362502580098088,8
2021-05-18,175.0399932861328,0.12538077638950254,0.12294596643067056,0.1278638050878974,1.04,18.297704282983393,8
2021-05-19,175.16000366210938,0.12194082824022448,0.11957281975010975,0.12435573254011416,1.04,12.676387870730332,8
2021-05-20,175.9600067138672,0.11722099225662237,0.11494463979215888,0.11954242538384525,1.04,4.963570605349956,8
2021-05-21,176.0399932861328,0.11470049468960555,0.11247308858481621,0.11697201212820887,1.04,0.8447543541546896,8
2021-05-24,176.35000610351562,0.1147710383250027,0.11254226231047963,0.11704395280289884,1.04,0.9600317008557393,8
2021-05-25,177.9499969482422,0.11507443489343334,0.11283976712255366,0.11735335780745583,1.04,1.4558206010164543,8
2021-05-26,177.63999938964844,0.11672118210534863,0.11445453561630568,0.11903271704095793,1.04,4.146816722895231,8
2021-05-27,177.7100067138672,0.11361152547806036,0.11140526641955262,0.11586147707633473,1.04,0.0,8
2021-05-28,178.3800048828125,0.11033123945081959,0.10818868133050137,0.11251622858372144,1.04,0.0,8
2021-06-01,177.89999389648438,0.1063444162390289,0.10427927953162341,0.10845045071288836,1.04,0.0,8
2021-06-02,178.77000427246094,0.09807690402891392,0.09617231682234594,0.10001920949523979,1.04,0.0,8
2021-06-03,175.27000427246094,0.14729084505833306,0.14443055637038685,0.15020777862520235,1.04,63.66504445465524,8
2021-06-04,177.16000366210938,0.12455231982437433,0.12213359793225656,0.12701894184954685,1.04,34.24961481068696,8
2021-06-07,177.8699951171875,0.12171435469348811,0.11935074416662489,0.1241247739332899,1.04,30.578314109314032,8
2021-06-08,177.32000732421875,0.12301454980042331,0.12062569036311344,0.125450717977638,1.04,32.26029644097229,8
2021-06-09,176.97999572753906,0.12362159878963985,0.12122095087113688,0.12606978890598236,1.04,33.04559833056333,8
2021-06-10,177.74000549316406,0.1151299425480903,0.1128941968560632,0.11740996473030574,1.04,22.060465646539303,8
2021-06-11,175.74000549316406,0.12567318781234227,0.12323269942125849,0.12816200739810885,1.04,35.69961269317967,8
2021-06-14,174.7100067138672,0.12448418740107253,0.12206678859457883,0.126949460138362,1.04,34.161476090893736,8
2021-06-15,174.0500030517578,0.11721828248649904,0.11494198264394037,0.119539661949698,1.04,24.762022405339568,8
2021-06-16,171.11000061035156,0.14817143206159328,0.1452940429690484,0.15110580468781035,1.04,64.8042056259835,8
2021-06-17,165.85000610351562,0.19547016035028567,0.18985740326093992,0.2012488474565963,1.06,100.0,8
2021-06-18,164.92999267578125,0.19300157939961085,0.18745970548346502,0.1987072878124729,1.06,97.46534714628582,8
2021-06-21,166.9499969482422,0.2034542883838142,0.1976122739431565,0.20946901037974588,1.06,100.0,8
2021-06-22,166.25,0.20256888530402617,0.1967522944492708,0.20855743211622704,1.06,99.15977884134408,8
